painting_robot_002,4.2,2,"{'x': 193.4, 'y': 54.5, 'z': 101.3}",23.3,65.4,3.7,1.9,561.6,1.8,0.76,4.4,2024-10-19T12:52:22.928Z
painting_robot_002,2,118.1,"{'x': 152.8, 'y': 45.4, 'z': 134.8}",6.9,67.1,3.3,0.4,381.5,36.5,0.18,0.6,2024-10-19T12:52:43.705Z
painting_robot_002,0.8,78.6,"{'x': 78.7, 'y': 95.8, 'z': 0.3}",32.7,55.9,4.7,0,770.9,72.2,0.2,2.7,2024-10-19T12:53:03.409Z
painting_robot_002,1.8,118.3,"{'x': 39.3, 'y': 168.6, 'z': 145.6}",37.8,0.8,0.2,0.8,1470.1,54,0.12,1.5,2024-10-19T12:53:23.332Z
painting_robot_002,1.8,9,"{'x': 121.2, 'y': 75.4, 'z': 167.3}",5.7,80.2,1.6,1.9,2493.5,79.9,0.44,0.7,2024-10-19T12:53:28.908Z
painting_robot_002,0.2,33.6,"{'x': 49.2, 'y': 20.5, 'z': 126}",2.5,54.4,4.2,0.1,1937.7,72.9,0.52,0.9,2024-10-19T12:53:29.106Z
painting_robot_002,4.2,60.2,"{'x': 189.7, 'y': 48.1, 'z': 84.9}",15.8,29.9,0,1.5,436.2,67.6,0.4,3.9,2024-10-19T12:53:43.464Z
painting_robot_002,0.8,97.9,"{'x': 163.8, 'y': 130.7, 'z': 74.7}",23.2,53.5,0.1,0,1726.9,25.9,0.96,2.2,2024-10-19T12:54:03.479Z
painting_robot_002,3.5,69.4,"{'x': 42.6, 'y': 41.4, 'z': 108.1}",41.7,58.3,4.1,1.7,2477.6,41.9,0.7,1.3,2024-10-19T12:54:42.803Z
painting_robot_002,0.2,43.7,"{'x': 81.6, 'y': 159.1, 'z': 131}",6.9,46.3,4,0.6,1777.6,32.3,0.38,4.8,2024-10-19T12:55:02.694Z
painting_robot_002,0.6,29.1,"{'x': 128.9, 'y': 57.5, 'z': 119.5}",30.8,0.8,4.8,1.7,2016.5,97.4,0.7,1.4,2024-10-19T12:55:22.748Z
painting_robot_002,4.6,134.7,"{'x': 38.7, 'y': 20, 'z': 104.5}",44.5,3.8,4.8,0.2,1695,72.5,0.58,3.8,2024-10-19T12:56:02.501Z
painting_robot_002,4,65.3,"{'x': 197.8, 'y': 37.8, 'z': 159.4}",38.7,52.4,2.9,1.5,647.5,4.6,0.4,0.3,2024-10-19T12:56:22.783Z
painting_robot_002,0.6,96.6,"{'x': 87.4, 'y': 140.4, 'z': 42.3}",28.3,11.7,4.6,0.9,1121.5,91.5,0.32,0.2,2024-10-19T12:56:42.652Z
painting_robot_002,4.7,131,"{'x': 148.9, 'y': 145.9, 'z': 189.4}",6.5,0.1,3.8,0.6,291.2,49.4,0.58,3.8,2024-10-19T12:57:02.573Z
painting_robot_002,4.2,25.7,"{'x': 154.3, 'y': 19.6, 'z': 55.4}",40.8,16.2,3.4,0.7,2326.6,11.2,0.83,1,2024-10-19T12:57:42.983Z
painting_robot_002,1.4,47.3,"{'x': 172.9, 'y': 92.7, 'z': 116.8}",47.5,44.2,1.6,0.8,881.6,64.1,0.17,1,2024-10-19T12:58:22.790Z
painting_robot_002,0.9,70.9,"{'x': 110.2, 'y': 6.6, 'z': 120.7}",43.8,27.5,0.6,0.6,2133.5,72.2,0.9,4.2,2024-10-19T12:58:42.612Z
painting_robot_002,1.3,52.3,"{'x': 120.7, 'y': 74.6, 'z': 64.4}",17.7,9.3,3.4,1,2520,37,0.7,1.7,2024-10-19T12:59:23.428Z
painting_robot_002,3.4,88.4,"{'x': 29.6, 'y': 138.9, 'z': 192.4}",31,15.4,3.3,0.6,1840.5,54,0.48,1,2024-10-19T12:59:43.224Z
painting_robot_002,0.6,104.6,"{'x': 12.7, 'y': 132, 'z': 9}",7.9,13.6,3.4,0.8,1933.5,65.5,0.97,0.6,2024-10-19T13:00:03.012Z
painting_robot_002,4.9,12,"{'x': 14, 'y': 112.8, 'z': 154.9}",7.8,12.4,0,1.5,907.1,45.3,0.33,3.6,2024-10-19T13:00:22.897Z
painting_robot_002,4.3,126,"{'x': 107.2, 'y': 152.4, 'z': 81.9}",24.3,68.2,2.8,1,877.6,2.4,0.49,0.9,2024-10-19T13:00:43.144Z
